web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676496995-433","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","27.743.430,00","10.974.041,48","39,56","10.877.898,55","10.072.139,42"
"1676496995-434","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","2.288.611,00","1.411.792,82","61,69","1.409.792,82","1.409.792,82"
"1676496995-435","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO DE RECEITAS","2.608.239,00","466.281,29","17,88","261.864,74","261.864,74"
"1676496995-436","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","3.135.075,00","2.052.541,22","65,47","2.051.123,47","1.935.442,15"
"1676496995-437","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","826.000,00","312.553,21","37,84","312.553,21","264.183,64"
"1676496995-438","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","4.731.000,00","78.660,67","1,66","78.660,67","78.660,67"
"1676496995-439","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SEGURANCA PUBLICA","363.249.382,00","315.414.877,80","86,83","315.103.853,15","305.952.499,06"
"1676496995-440","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","198.314.650,00","197.122.870,96","99,40","196.985.590,08","196.945.121,67"
"1676496995-441","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","9.000,00","0,00","0,00","0,00","0,00"
"1676496995-442","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","0,00","0,00","0,00","0,00","0,00"
"1676496995-443","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","POLICIAMENTO","161.364.735,00","116.574.590,08","72,24","116.400.846,31","107.386.140,63"
"1676496995-444","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DEFESA CIVIL","1.294.000,00","1.242.251,12","96,00","1.242.251,12","1.146.071,12"
"1676496995-445","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","1.656.247,00","213.785,64","12,91","213.785,64","213.785,64"
"1676496995-446","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","610.750,00","261.380,00","42,80","261.380,00","261.380,00"
"1676496995-447","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA SOCIAL","205.012.913,00","131.467.041,74","64,13","130.763.698,65","127.066.614,84"
"1676496995-448","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","62.582.489,00","56.690.408,20","90,59","56.689.450,60","56.415.766,22"
"1676496995-449","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","356.000,00","5.795,00","1,63","5.795,00","5.795,00"
"1676496995-450","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","39.286.784,00","28.892.341,95","73,54","28.669.326,18","27.823.245,56"
"1676496995-451","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","97.159.637,00","43.919.751,81","45,20","43.440.382,09","41.366.949,28"
"1676496995-452","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","5.592.003,00","1.958.744,78","35,03","1.958.744,78","1.454.858,78"
"1676496995-453","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","19.000,00","0,00","0,00","0,00","0,00"
"1676496995-454","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO","17.000,00","0,00","0,00","0,00","0,00"
"1676496995-455","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDENCIA SOCIAL","1.318.533.285,00","1.291.905.183,15","97,98","1.291.686.717,10","1.291.600.852,07"
"1676496995-456","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","57.071.727,00","43.005.043,42","75,35","42.839.478,13","42.753.613,10"
"1676496995-457","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","5.850.000,00","279.636,00","4,78","279.636,00","279.636,00"
"1676496995-458","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","40.000,00","0,00","0,00","0,00","0,00"
"1676496995-459","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDENCIA DO REGIME ESTATUTARIO","1.255.571.558,00","1.248.620.503,73","99,45","1.248.567.602,97","1.248.567.602,97"
"1676496995-460","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SAUDE","3.200.328.739,00","2.884.691.968,60","90,14","2.864.270.732,70","2.840.646.223,82"
"1676496995-461","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","469.576.860,00","384.469.348,33","81,88","380.436.816,52","378.605.773,62"
"1676496995-462","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","9.101.100,00","6.375.444,67","70,05","6.375.444,67","6.375.444,67"
"1676496995-463","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","432.000,00","0,00","0,00","0,00","0,00"
"1676496995-464","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ATENCAO BASICA","750.776.774,00","677.612.328,83","90,25","676.409.383,77","675.986.825,40"
"1676496995-465","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA HOSPITALAR E AMBULATORIAL","1.786.784.601,00","1.650.876.197,37","92,39","1.637.459.370,83","1.617.578.009,26"
"1676496995-466","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SUPORTE PROFILATICO E TERAPEUTICO","48.426.133,00","45.906.729,65","94,80","45.706.929,65","45.706.929,65"
"1676496995-467","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","121.158.971,00","107.874.616,29","89,04","107.745.434,93","107.286.131,02"
"1676496995-468","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA EPIDEMIOLOGICA","5.041.303,00","3.896.865,89","77,30","3.896.236,64","3.896.236,64"
"1676496995-469","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","6.000,00","0,00","0,00","0,00","0,00"
"1676496995-470","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","9.024.997,00","7.680.437,57","85,10","6.241.115,69","5.210.873,56"
"1676496995-471","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRABALHO","37.073.118,00","22.631.590,09","61,05","20.295.307,29","20.269.711,99"
"1676496995-472","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","50.000,00","0,00","0,00","0,00","0,00"
"1676496995-473","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","36.842.118,00","22.631.590,09","61,43","20.295.307,29","20.269.711,99"
"1676496995-474","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FOMENTO AO TRABALHO","181.000,00","0,00","0,00","0,00","0,00"
"1676496995-475","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO","2.874.925.016,00","2.651.643.116,25","92,23","2.594.429.259,42","2.579.937.521,88"
"1676496995-476","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","93.124.602,00","91.924.862,46","98,71","90.234.690,52","90.234.690,52"
"1676496995-477","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","808.000,00","92.568,00","11,46","92.568,00","92.568,00"
"1676496995-478","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","70.000,00","0,00","0,00","0,00","0,00"
"1676496995-479","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","17.000,00","0,00","0,00","0,00","0,00"
"1676496995-480","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","2.000,00","0,00","0,00","0,00","0,00"
"1676496995-481","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO FUNDAMENTAL","1.951.511.732,00","1.868.144.986,71","95,73","1.827.058.213,50","1.815.358.664,08"
"1676496995-482","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO MEDIO","263.316,00","251.262,00","95,42","251.262,00","251.262,00"
"1676496995-483","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENSINO PROFISSIONAL","172.870,00","69.516,00","40,21","69.516,00","69.516,00"
"1676496995-484","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO INFANTIL","536.344.727,00","490.249.068,03","91,41","481.752.177,43","479.087.501,69"
"1676496995-485","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO DE JOVENS E ADULTOS","59.138.375,00","54.705.287,98","92,50","54.705.287,98","54.705.287,98"
"1676496995-486","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO ESPECIAL","395.000,00","0,00","0,00","0,00","0,00"
"1676496995-487","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EDUCACAO BASICA","121.199.397,00","109.618.484,41","90,44","108.130.481,20","108.002.968,82"
"1676496995-488","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","111.324.997,00","36.131.932,60","32,46","31.729.914,73","31.729.914,73"
"1676496995-489","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","553.000,00","455.148,06","82,31","405.148,06","405.148,06"
"1676496995-490","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CULTURA","98.455.818,00","42.097.589,76","42,76","36.148.471,18","34.127.215,29"
"1676496995-491","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","41.801.420,00","26.512.144,03","63,42","20.563.025,45","19.885.172,83"
"1676496995-492","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","11.000,00","0,00","0,00","0,00","0,00"
"1676496995-493","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","7.384.954,00","7.086.685,44","95,96","7.086.685,44","5.904.003,35"
"1676496995-494","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO","3.432.954,00","611.288,38","17,81","611.288,38","611.288,38"
"1676496995-495","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO CULTURAL","45.825.490,00","7.887.471,91","17,21","7.887.471,91","7.726.750,73"
"1676496995-496","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS DA CIDADANIA","72.454.970,00","47.762.232,05","65,92","47.513.158,39","45.151.740,87"
"1676496995-497","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","20.890.574,00","19.601.788,80","93,83","19.601.788,80","17.361.788,80"
"1676496995-498","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","15.074.189,00","8.663.709,35","57,47","8.442.807,91","8.407.895,50"
"1676496995-499","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","100.000,00","0,00","0,00","0,00","0,00"
"1676496995-500","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO IDOSO","1.327.226,00","15.201,14","1,15","15.201,14","15.201,14"
